gene,loading
ENSMUSG00000041378,0.34624706398520566
ENSMUSG00000029648,0.335178397115846
ENSMUSG00000026193,0.30440204798291565
ENSMUSG00000021025,0.22621355481773997
ENSMUSG00000034485,0.22463581354407886
ENSMUSG00000026728,0.2206863278173092
ENSMUSG00000024066,0.21411853518525586
ENSMUSG00000060802,0.20659089246110637
ENSMUSG00000032232,0.19942006629979736
ENSMUSG00000026222,0.15206093161237996
ENSMUSG00000018593,0.14543250602819682
ENSMUSG00000037242,0.13771111515660675
