program,section,stage,mean,sd,n_cells,basis_model,embedding_mode
P04,E14.5_E1S4.MOSTA,E14.5,6.678849526475436e-07,3.0612576990353095,105838,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S4.MOSTA,E14.5,-1.1004138268211733e-07,2.5297045945266547,105838,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E1S5.MOSTA,E14.5,-8.768537173777454e-07,1.9922213943624885,101350,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E1S5.MOSTA,E14.5,1.7862187773978255e-06,3.651777318263914,101350,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E1S5.MOSTA,E14.5,-1.2924310057582737e-06,2.8207188047597014,101350,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E2S1.MOSTA,E14.5,4.362907983638963e-06,1.2712052098083195,92747,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E2S1.MOSTA,E14.5,1.0797363754496605e-06,3.0938816271596186,92747,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E2S1.MOSTA,E14.5,-3.8091885202605883e-07,1.8276782701776368,92747,stage_grouped,raw_apply_stage_procrustes
P02,E14.5_E2S2.MOSTA,E14.5,-1.7128521755733574e-06,1.408461487569569,112042,stage_grouped,raw_apply_stage_procrustes
P04,E14.5_E2S2.MOSTA,E14.5,-1.915597847296792e-06,3.5844296926049224,112042,stage_grouped,raw_apply_stage_procrustes
P05,E14.5_E2S2.MOSTA,E14.5,4.223640306947318e-07,2.533472067476439,112042,stage_grouped,raw_apply_stage_procrustes
P02,E15.5_E1S2.MOSTA,E15.5,-1.7072319566618758e-06,1.8344780160657477,109810,stage_grouped,raw_apply_stage_procrustes
P04,E15.5_E1S2.MOSTA,E15.5,-1.575582268467046e-06,2.947001052821438,109810,stage_grouped,raw_apply_stage_procrustes
P05,E15.5_E1S2.MOSTA,E15.5,-1.2863021601794044e-06,2.3356599911844205,109810,stage_grouped,raw_apply_stage_procrustes
P02,E15.5_E1S3.MOSTA,E15.5,1.7644941587741995e-06,2.090657997793669,104041,stage_grouped,raw_apply_stage_procrustes
P04,E15.5_E1S3.MOSTA,E15.5,-8.336077096359664e-07,4.2695750624634865,104041,stage_grouped,raw_apply_stage_procrustes
P05,E15.5_E1S3.MOSTA,E15.5,-2.0718964343668415e-06,2.8270205576390612,104041,stage_grouped,raw_apply_stage_procrustes
P02,E15.5_E1S4.MOSTA,E15.5,1.0384090754238234e-06,1.324401932122088,104842,stage_grouped,raw_apply_stage_procrustes
P04,E15.5_E1S4.MOSTA,E15.5,2.9819159249307447e-06,2.773565349886406,104842,stage_grouped,raw_apply_stage_procrustes
P05,E15.5_E1S4.MOSTA,E15.5,6.274562322286757e-07,2.503771696927329,104842,stage_grouped,raw_apply_stage_procrustes
P02,E15.5_E2S1.MOSTA,E15.5,-1.513464040373091e-06,1.944620432154686,72941,stage_grouped,raw_apply_stage_procrustes
P04,E15.5_E2S1.MOSTA,E15.5,1.40361684980566e-06,4.501919929934511,72941,stage_grouped,raw_apply_stage_procrustes
P05,E15.5_E2S1.MOSTA,E15.5,-9.243098538280278e-07,4.243021892486611,72941,stage_grouped,raw_apply_stage_procrustes
P02,E15.5_E1S1.MOSTA,E15.5,4.47134325286535e-07,1.5805337354147733,113332,stage_grouped,raw_apply_stage_procrustes
P04,E15.5_E1S1.MOSTA,E15.5,6.65240587025498e-07,2.746607114370041,113332,stage_grouped,raw_apply_stage_procrustes
P05,E15.5_E1S1.MOSTA,E15.5,5.680442507636925e-07,2.3997691814020667,113332,stage_grouped,raw_apply_stage_procrustes
P02,E16.5_E1S1.MOSTA,E16.5,6.664876835303764e-07,2.2012468169144084,121762,stage_grouped,raw_apply_stage_procrustes
