stage,E12.5,E13.5,E14.5,E15.5,E16.5
E12.5,0.0,2.3021548167272723,2.759004750087188,2.922244401164351,3.3600490031716026
E13.5,2.3021548167272723,0.0,2.4807216091267414,2.5437303520300008,3.063363763529578
E14.5,2.759004750087188,2.4807216091267414,0.0,1.8906360770305277,2.336398978467115
E15.5,2.922244401164351,2.5437303520300008,1.8906360770305277,0.0,1.8731608307420522
E16.5,3.3600490031716026,3.063363763529578,2.336398978467115,1.8731608307420522,0.0
